COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg,Region
SOUTH NAKNEK,6720.824561403508596,0.000000000000000,103.628117913832199,58.658126500000002,-157.011738400000013,6824.452679317340881,West
ST. GEORGE,717.913832199546505,0.000000000000000,87.981859410430843,56.570518700000001,-169.598681099999993,805.895691609977348,West
ST. MICHAELS,11214.613636363636033,4799.545454545454959,0.000000000000000,63.464848199999999,-162.129262299999994,16014.159090909091901,West
ST. PAUL,2427.709467120181216,0.000000000000000,407.709750566893433,57.179041099999999,-170.325068399999992,2835.419217687074706,West
STEBBINS,19715.329545454544132,7875.000000000000000,0.000000000000000,63.434613800000001,-162.277634799999987,27590.329545454544132,West
STERLING,229.133040935672511,0.000000000000000,0.000000000000000,60.540373400000000,-150.806786899999992,229.133040935672511,SCAK
SUTTON-ALPINE,1433.302631578947285,0.000000000000000,0.000000000000000,61.730711100000001,-148.878445800000009,1433.302631578947285,SCAK
TATITLEK,1861.042737465356367,14.000000000000000,312.653061224489761,60.897950899999998,-146.679567800000001,2187.695798689846015,SCAK
TELLER,10334.764705882353155,508.235294117647072,0.000000000000000,65.251655299999996,-166.351171800000003,10843.000000000000000,West
TENAKEE SPRINGS,828.905423280423292,0.000000000000000,0.000000000000000,57.790054400000002,-135.135445900000008,828.905423280423292,SEAK
THORNE BAY,5411.110487528344493,0.000000000000000,6209.523809523809177,55.667154799999999,-132.535605299999986,11620.634297052154579,SEAK
TOGIAK,16141.197250566892762,1027.500000000000000,1039.002267573696145,59.040615600000002,-160.431476099999998,18207.699518140587315,West
TOKSOOK BAY,6496.962791177076724,2332.272727272727479,0.000000000000000,60.528959999999998,-165.105835899999988,8829.235518449804658,West
TUNTUTULIAK,55565.767636684300669,0.000000000000000,0.000000000000000,60.412290900000002,-162.668759499999993,55565.767636684300669,West
TUNUNAK,3778.789540816326280,135.000000000000000,0.000000000000000,60.607990700000002,-165.120790000000000,3913.789540816326280,West
TWIN HILLS,648.124829931972840,540.000000000000000,131.519274376417229,59.100181499999998,-160.309261600000013,1319.644104308390069,West
TYONEK,10973.031477503282076,0.000000000000000,112.471655328798178,61.107586800000000,-151.396552000000014,11085.503132832080155,SCAK
UGANIK BAY,24.000000000000000,0.000000000000000,0.000000000000000,57.670589999999997,-153.514530000000008,24.000000000000000,SCAK
UGASHIK,1274.109375000000000,0.875000000000000,0.000000000000000,57.647526700000000,-156.994899299999986,1274.984375000000000,
UNALAKLEET,56084.500000000000000,6047.619047619047706,0.000000000000000,63.893306699999997,-160.796644899999990,62132.119047619045887,West
UNALASKA,13947.350992063491503,0.000000000000000,22738.775510204079183,53.913312400000002,-166.525080300000013,36686.126502267572505,Aleutian
VALDEZ,14003.743815708101465,504.636363636363626,7874.074074074073906,61.083367199999998,-146.320283899999993,22382.454253418538428,SCAK
VOZNESENKA,4669.841269841269423,0.000000000000000,410.884353741496568,59.794570000000000,-151.098639999999989,5080.725623582766275,SCAK
WAINWRIGHT,41.194444444444443,21302.777777777777374,0.000000000000000,70.647390599999994,-160.001532900000001,21343.972222222222626,North
WALES,433.720721621982136,5022.941176470588289,1607.709750566893263,65.614193499999999,-168.081118000000004,7064.371648659463972,West
WASILLA,32832.590213358067558,0.000000000000000,0.000000000000000,61.575239799999999,-149.456839800000012,32832.590213358067558,SCAK
WHALE PASS,462.197959183673447,0.000000000000000,3785.941043083899785,56.126699199999997,-133.197685500000006,4248.139002267573233,SEAK
WHITE MOUNTAIN,12073.902777777777374,1925.000000000000000,0.000000000000000,64.681830500000004,-163.411927999999989,13998.902777777777374,West
