Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,(...),Study_name_clean,Study_name_cleaner
Diver,NOAA North Pacific Research Board Study 2010,2010,21.165,59.562,-151.7,Soft Shell Clam,Mya arenaria,clam,Bivalvia,Clams,Background biomonitoring,1096-12-BA2010NPR_PHGA,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA North Pacific Research Board Study,NOAA Regional Studies
Diver,NOAA North Pacific Research Board Study 2010,2010,18.14,59.50694,-151.88139,Cockle,Clinocardium nuttallii,cockle,Bivalvia,Clams,Background biomonitoring,1096-12-BA2010NPR_SHACN,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,cockle,NOAA North Pacific Research Board Study,NOAA Regional Studies
Diver,NOAA North Pacific Research Board Study 2010,2010,25.884,59.50694,-151.88139,Soft Shell Clam,Mya arenaria,clam,Bivalvia,Clams,Background biomonitoring,1096-12-BA2010NPR_SHAMA,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA North Pacific Research Board Study,NOAA Regional Studies
Diver,Western Mariner Preassessment Tissue,2022,168.44,57.29588,-135.619327,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-001,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,6.77,57.300952,-135.637727,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-002,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,17.39,57.297235,-135.590132,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-003,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,222.08,57.268213,-135.583302,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-004,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,61.29,57.267483,-135.583222,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-005,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,4.78,57.156522,-135.568097,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-008,,ng/g,wet,Provided,Other,1,1,UCALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,4.45,57.173958,-135.555258,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-007,,ng/g,wet,Provided,Other,1,1,UCALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,4.6,57.22868,-135.537007,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-NRDAR-006,,ng/g,wet,Provided,Other,1,1,UCALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,2.72,57.1476,-135.464783,Pacific Herring,Clupea pallasii,forage fish,Chordata (Actinopterygii),Fish,Post-oil spill assessment,1092-A1-SS-12,,ng/g,wet,Provided,Eggs,1,1,UCALC_016,,,,forage fish,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,23.31,57.17415,-135.461717,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-SS-10,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,4.008,57.17415,-135.461717,Pacific Herring,Clupea pallasii,forage fish,Chordata (Actinopterygii),Fish,Post-oil spill assessment,1092-A1-SS-10.5,,ng/g,wet,Provided,Eggs,1,1,CALC_016,,,,forage fish,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,10.374,57.1528,-135.5829,Pacific Herring,Clupea pallasii,forage fish,Chordata (Actinopterygii),Fish,Post-oil spill assessment,1092-A1-SS-8,,ng/g,wet,Provided,Eggs,1,1,CALC_016,,,,forage fish,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,3.174,57.0844,-135.4146,Pacific Herring,Clupea pallasii,forage fish,Chordata (Actinopterygii),Fish,Post-oil spill assessment,1092-A1-SS-13,,ng/g,wet,Provided,Eggs,1,1,CALC_016,,,,forage fish,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,22.697,57.1739,-135.60535,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-SS-7,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,3.67,57.1739,-135.60535,Pacific Herring,Clupea pallasii,forage fish,Chordata (Actinopterygii),Fish,Post-oil spill assessment,1092-A1-SS-7.5,,ng/g,wet,Provided,Eggs,1,1,CALC_016,,,,forage fish,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
Diver,Western Mariner Preassessment Tissue,2022,21.442,57.224283,-135.552133,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Post-oil spill assessment,1092-A1-SS-5,,ng/g,wet,Provided,Other,1,1,CALC_016,,,,mussel,NOAA Western Mariner Assessment,NOAA Western Mariner Assessment
