Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,F_____,Study_name_clean,Study_name_cleaner,Region
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-08,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-09,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-10,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-11,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-12,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-13,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-14,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-15,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-16,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-17,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
