COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
RUSSIAN MISSION,26479.20588235294,0,0,61.7845631,-161.3686281,26479.20588235294
SALCHA,3826.3815789473683,0,0,64.5337807,-146.8842766,3826.3815789473683
SAND POINT,19579.065084764065,39.04761904761905,4894.7845804988665,55.3133683,-160.4835524,24512.89728431055
SAVOONGA,1848.8741932670505,269994.6153846154,0,63.6807655,-170.4827819,271843.4895778824
SAXMAN,970.1806722689075,0,0,55.3228201,-131.5889692,970.1806722689075
SCAMMON BAY,15447.543212739642,4074.5454545454545,0,61.8426245,-165.5832658,19522.088667285097
SECURITY BAY,340,0,0,56.83806,-134.3275,340
SELAWIK,10521.667120181406,0,0,66.5907512,-160.001206,10521.667120181406
SELDOVIA,4715.933646474463,14,4788.057445200302,59.4397147,-151.7117356,9517.991091674765
SEWARD,681.5209492888064,0.6363636363636364,0,60.1247863,-149.3915808,682.15731292517
SHAGELUK,15039.336230788611,0,0,62.6664182,-159.5353915,15039.336230788611
SHAKTOOLIK,20124.727272727272,9070.90909090909,0,64.3590858,-161.2011001,29195.63636363636
SHISHMAREF,2887.985544217687,14941.57142857143,774.6031746031746,66.2349991,-166.1191387,18604.160147392293
SHUNGNAK,22369.699494949495,0,0,66.8870986,-157.1639645,22369.699494949495
SITKA,86139.9553700268,1086.6363636363637,111185.03401360544,57.1425085,-135.3326236,198411.6257472686
SKAGWAY,723.3768424036281,0,0,59.4643604,-135.2751506,723.3768424036281
SKWENTNA,680.6607142857143,0,0,61.8886894,-151.1999937,680.6607142857143
SLANA,4850.312556689342,0,960.0907029478458,62.6316822,-143.5948389,5810.403259637188
SLEETMUTE,14861.526315789473,0,0,61.6538615,-157.1030202,14861.526315789473
SOLDOTNA,1105.7216836734694,0,0,60.4849958,-151.0687538,1105.7216836734694
SOURDOUGH,394.5,0,0,62.52908,-145.517,394.5
SOUTH NAKNEK,6720.824561403509,0,103.6281179138322,58.6581265,-157.0117384,6824.452679317341
ST. GEORGE,717.9138321995465,0,87.98185941043084,56.5705187,-169.5986811,805.8956916099773
ST. MARYS,45123.60294117647,0,0,62.0652861,-163.2494788,45123.60294117647
ST. MICHAELS,11214.613636363636,4799.545454545455,0,63.4648482,-162.1292623,16014.159090909092
ST. PAUL,2427.709467120181,0,407.70975056689343,57.1790411,-170.3250684,2835.4192176870747
STEBBINS,19715.329545454544,7875,0,63.4346138,-162.2776348,27590.329545454544
STERLING,229.1330409356725,0,0,60.5403734,-150.8067869,229.1330409356725
STEVENS VILLAGE,16662.69887955182,0,0,66.0235904,-149.0815924,16662.69887955182
STONY RIVER,9468.764705882353,0,0,61.7930809,-156.5869665,9468.764705882353
SUTTON-ALPINE,1433.3026315789473,0,0,61.7307111,-148.8784458,1433.3026315789473
TAKOTNA,241.96428571428572,0,0,62.9823415,-156.0840594,241.96428571428572
TALKEETNA,617.3815789473684,0,0,62.2713769,-150.084564,617.3815789473684
TANACROSS,540.9870323129252,0,0,63.3286866,-143.4945171,540.9870323129252
TANANA,115738.02614379085,0,0,65.1845551,-152.0546429,115738.02614379085
TATITLEK,1861.0427374653564,14,312.65306122448976,60.8979509,-146.6795678,2187.695798689846
TAZLINA,3925.25,0,0,62.0535188,-145.4376249,3925.25
TELIDA,600,0,0,63.38304,-153.28081,600
TELLER,10334.764705882353,508.2352941176471,0,65.2516553,-166.3511718,10843
TENAKEE SPRINGS,828.9054232804233,0,0,57.7900544,-135.1354459,828.9054232804233
TETLIN,1631.1003401360542,0,0,63.1667149,-142.5545034,1631.1003401360542
THORNE BAY,5411.1104875283445,0,6209.523809523809,55.6671548,-132.5356053,11620.634297052155
TOGIAK,16141.197250566893,1027.5,1039.0022675736961,59.0406156,-160.4314761,18207.699518140587
TOK,13554.824319727892,0,724.7165532879818,63.3288523,-143.0375432,14279.540873015874
TOKSOOK BAY,6496.962791177077,2332.2727272727275,0,60.52896,-165.1058359,8829.235518449805
TOLSONA,647.625,0,0,62.0686354,-146.1231161,647.625
TONSINA,1120.75,0,0,61.5308984,-145.1108357,1120.75
TRAPPER CREEK,202.03571428571428,0,0,62.3445111,-150.3987796,202.03571428571428
TULUKSAK,49080.443967060506,0,2.7210884353741496,61.1042731,-160.9375722,49083.16505549588
TUNTUTULIAK,55565.7676366843,0,0,60.4122909,-162.6687595,55565.7676366843
TUNUNAK,3778.7895408163263,135,0,60.6079907,-165.12079,3913.7895408163263
TWIN HILLS,648.1248299319728,540,131.51927437641723,59.1001815,-160.3092616,1319.64410430839
TWO RIVERS,985.75,0,0,64.8908446,-147.0898835,985.75
